State,Latitude,Longitude,Confirmed_RS,Recovered_RS,Deaths_RS
Pennsylvania,40.5908,-77.2098,34940742,0,1678949
"Pierce County, WA",47.0676,-122.1295,9,0,0
"Pinal County, AZ",32.8162,-111.2845,6,0,0
"Placer County, CA",39.0916,-120.8039,28,0,6
"Plymouth County, MA",42.1615,-70.7928,3,0,0
"Polk County, GA",34.0132,-85.1479,2,0,0
"Portland, OR",45.5051,-122.675,4,0,0
"Providence County, RI",41.8882,-71.4774,9,0,0
"Providence, RI",41.824,-71.4128,11,0,0
Puerto Rico,18.2208,-66.5901,6450394,0,104504
"Queens County, NY",40.7282,-73.7949,1,0,0
"Ramsey County, MN",44.9964,-93.0616,4,0,0
Rhode Island,41.6809,-71.5118,5617823,0,225842
"Riverside County, CA",33.9533,-117.3961,2,0,0
"Rockingham County, NH",42.9931,-71.0498,3,0,0
"Rockland County, NY",41.1489,-73.983,8,0,0
"Sacramento County, CA",38.4747,-121.3542,30,0,0
"San Antonio, TX",29.4241,-98.4936,26,0,0
"San Benito, CA",36.5761,-120.9876,72,0,0
"San Diego County, CA",32.7157,-117.1611,59,18,0
"San Francisco County, CA",37.7749,-122.4194,31,0,0
"San Mateo, CA",37.563,-122.3255,15,0,0
"Santa Clara County, CA",37.3541,-121.9552,239,18,0
"Santa Cruz County, CA",36.9741,-122.0308,1,0,0
"Santa Rosa County, FL",30.769,-86.9824,5,0,2
"Sarasota, FL",27.3364,-82.5307,8,0,0
"Saratoga County, NY",43.0324,-73.936,6,0,0
"Seattle, WA",47.6062,-122.3321,43,22,2
"Shasta County, CA",40.7909,-121.8474,1,0,0
"Shelby County, TN",35.1269,-89.9253,2,0,0
"Snohomish County, WA",48.033,-121.8339,147,0,8
"Sonoma County, CA",38.578,-122.9888,10,0,0
South Carolina,33.8569,-80.945,23284645,0,509800
South Dakota,44.2998,-99.4388,5140091,0,57027
"Spartanburg County, SC",34.8606,-81.9535,1,0,0
"Spokane County, WA",47.6587,-117.4225,2,0,0
"St. Louis County, MO",38.6103,-90.4125,2,0,0
"Suffolk County, MA",42.3601,-71.0589,22,4,0
"Suffolk County, NY",40.9849,-72.6151,2,0,0
"Summit County, CO",39.5912,-106.064,8,0,0
"Tempe, AZ",33.4255,-111.94,35,11,0
Tennessee,35.7478,-86.6923,33374033,0,411973
Texas,31.0545,-97.5635,123413135,0,2338649
"Travis, CA",38.2054607,-89.61729103,15,0,0
"Tulsa County, OK",36.1593,-95.941,3,0,0
"Ulster County, NY",41.8586,-74.3118,2,0,0
"Umatilla, OR",45.775,-118.7606,8,0,0
United States Virgin Islands,18.35,-64.933,13,0,0
"Unknown Location, MA",42.4072,-71.3824,2,0,0
Utah,40.15,-111.8624,14462802,0,85991
Vermont,44.0459,-72.7107,419348,0,13996
Virgin Islands,18.3358,-64.8963,173633,0,2992
Virginia,37.7693,-78.17,26043217,0,566496
"Volusia County, FL",29.028,-81.0755,2,0,0
"Wake County, NC",35.8032,-78.5661,7,0,0
